Nama,Singkatan,Jenis,Status,Kabupaten,Provinsi,Akreditasi,Jumlah Prodi,Persentase Kelulusan,Rentang Biaya / Semester
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Kumala Lampung Metro,STKIP Kumala Lampung Metro,Swasta,Aktif,Kota Metro,Prov. Lampung,Baik,4,53.25 %,Rp2.500.000 - 2.500.000
STIKES Bina Bangsa Kuala Simpang,STIKES Bina Bangsa Kuala,Swasta,Tutup,Kab. Aceh Tamiang,Prov. Aceh,Tidak Terakreditasi,2,65.42 %,
Sekolah Tinggi Ilmu Ekonomi Canda Bhirawa,STIE Canda Bhirawa,Swasta,Alih Bentuk,Kab. Kediri,Prov. Jawa Timur,Tidak Terakreditasi,2,39.10 %,
Akademi Farmasi Kebangsaan Makassar,Akfar Kebangsaan Makassar,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,49.70 %,
Sekolah Tinggi Ilmu Ekonomi Pelita Harapan Nabire,STIE Pelita Harapan Nabire,Swasta,Aktif,Kab. Nabire,Prov. Papua,Baik,2,,Rp2.900.000 - 3.740.000
Akademi Akuntansi Jayabaya,AAJ,Swasta,Alih Bentuk,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Tidak Terakreditasi,1,57.86 %,
IKIP PGRI Semarang,IKIP PGRI Semarang,Swasta,Alih Bentuk,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,20,,
Politeknik LPP Yogyakarta,PLY,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,Terakreditasi,12,53.53 %,Rp1.333.000 - 8.000.000
STISIP Bina Putera Banjar,STISIP Bina Putera Banjar,Swasta,Aktif,Kota Banjar,Prov. Jawa Barat,Baik,4,56.04 %,
Sekolah Tinggi Ilmu Ekonomi Indonesia Membangun (Inaba),STIE Indonesia Membangun,Swasta,Alih Bentuk,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,3,45.12 %,
Sekolah Tinggi Ilmu Ekonomi Ragam Tunas,STIE Ragam Tunas,Swasta,Aktif,Kab. Lampung Utara,Prov. Lampung,Baik,2,60.46 %,Rp2.750.000 - 4.000.000
Universitas LIA,UL,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Terakreditasi,7,13.28 %,Rp2.550.000 - 9.850.000
Akademi Keperawatan Tapanuli Utara,Akper Tapanuli,Swasta,Aktif,Kab. Tapanuli Utara,Prov. Sumatera Utara,Baik,1,0.76 %,
Sekolah Tinggi Teknologi Pratama Adi,STT Pratama Adi,Swasta,Aktif,Kab. Bandung,Prov. Jawa Barat,Baik,4,10.56 %,Rp2.700.000 - 2.700.000
AKAFARMA Putra Indonesia Lampung,AKAFARMA Putra Indonesia,Swasta,Alih Bentuk,Kota Bandar Lampung,Prov. Lampung,Tidak Terakreditasi,1,63.47 %,
Akademi Teknik Elektromedik Kupula Aceh,Atek Elektromedik Kupula,Swasta,Alih Bentuk,Kota Banda Aceh,Prov. Aceh,Tidak Terakreditasi,1,42.86 %,
IKIP PGRI Pontianak,IKIP PGRI Pontianak,Swasta,Alih Bentuk,Kota Pontianak,Prov. Kalimantan Barat,B,18,,Rp2.400.000 - 4.000.000
STMIK Kristen Neumann Indonesia,STMIK Kristen Neumann Indonesia,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,4,50.26 %,Rp3.000.000 - 3.000.000
Sekolah Tinggi Ilmu Kesehatan Mitra Adiguna,STIKes Mitra Adiguna,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,7,86.20 %,Rp2.500.000 - 4.250.000
Institut Teknologi dan Bisnis Nusantara,ITBN,Swasta,Aktif,Kab. Tulang Bawang,Prov. Lampung,Baik,3,,Rp2.500.000 - 2.500.000
Universitas Mega Buana Palopo,UMBP,Swasta,Aktif,Kota Palopo,Prov. Sulawesi Selatan,Baik Sekali,19,59.03 %,Rp4.000.000 - 4.000.000
STISIPOL Raja Haji,STISIPOL Raja Haji,Swasta,Aktif,Kota Tanjungpinang,Prov. Kepulauan Riau,Baik,3,42.50 %,Rp2.125.000 - 3.025.000
Akademi Pariwisata Gsp Internasional,APGI,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Baik,1,77.69 %,Rp3.000.000 - 3.000.000
STIKES Panti Waluya Malang,STIKES Panti Waluya Malang,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,B,6,47.24 %,Rp250.000 - 23.450.000
Akademi Kebidanan Citama Raya Depok,Akbid Citama Raya Depok,Swasta,Aktif,Kota Depok,Prov. Jawa Barat,Tidak Terakreditasi,1,83.84 %,
Akademi Keperawatan Takasima Kabanjahe,Akper Takasima Kabanjahe,Swasta,Tutup,Kab. Karo,Prov. Sumatera Utara,Tidak Terakreditasi,1,84.77 %,
Sekolah Tinggi Ilmu Manajemen Amkop,STIMA,Swasta,Alih Bentuk,Kota Palembang,Prov. Sumatera Selatan,Tidak Terakreditasi,2,46.16 %,
Akademi Kebidanan Mardi Rahayu,Akbid Mardi Rahayu,Swasta,Alih Bentuk,Kab. Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,1,83.86 %,
Universitas 'Aisyiyah Bandung,UAB,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik Sekali,9,63.48 %,
Sekolah Tinggi Ilmu Komunikasi,STIKom,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Baik,1,57.89 %,
Akademi Tenaga Kesehatan Baubau,ATKB,Swasta,Alih Bentuk,Kota Baubau,Prov. Sulawesi Tenggara,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Ekonomi Amsir Pare-pare,STIE Amsir Pare-pare,Swasta,Alih Bentuk,Kota Pare-Pare,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,34.43 %,
Universitas Muhammadiyah Cileungsi,UMC,Swasta,Aktif,Kab. Bogor,Prov. Jawa Barat,Baik,8,14.93 %,Rp5.250.000 - 5.250.000
Universitas Bima Internasional MFH,UBIM,Swasta,Aktif,Kota Mataram,Prov. Nusa Tenggara Barat,Baik Sekali,20,15.94 %,
Universitas Tama Jagakarsa,UTJ,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,21,54.38 %,Rp4.200.000 - 8.000.000
Sekolah Tinggi Manajemen Informatika dan Komputer Logika,STMIK Logika,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,4,61.17 %,Rp2.400.000 - 2.400.000
Institut Teknologi Dirgantara Adisutjipto,ITDA,Swasta,Aktif,Kab. Bantul,Prov. D.I. Yogyakarta,Baik Sekali,6,55.14 %,Rp2.500.000 - 27.000.000
Akademi Keperawatan RSU Herna,Akper RSU Herna,Swasta,Tutup,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,1,86.55 %,
STMIK Bandung,STMIK Bandung,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik,6,42.74 %,Rp250.000 - 50.000.000
Akademi Kebidanan Darul Ulum Jombang,Akbid Darul Ulum Jombang,Swasta,Alih Bentuk,Kab. Jombang,Prov. Jawa Timur,Tidak Terakreditasi,1,47.00 %,
Universitas Teknologi Mataram,UTM,Swasta,Aktif,Kota Mataram,Prov. Nusa Tenggara Barat,Baik Sekali,12,,Rp324.000 - 4.740.000
Institut Teknologi dan Bisnis Gowa,ITBG,Swasta,Tutup,Kab. Gowa,Prov. Sulawesi Selatan,Tidak Terakreditasi,4,,
Akademi Sekretari Manajemen Atmajaya Makassar,ASMAM,Swasta,Tutup,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Politeknik Haji Anwar Sanusi,PHAS,Swasta,Aktif,Kab. Bandung Barat,Prov. Jawa Barat,Terakreditasi Sementara,3,,Rp2.800.000 - 2.800.000
Universitas Kahuripan Kediri,UKK,Swasta,Aktif,Kab. Kediri,Prov. Jawa Timur,Baik,10,62.54 %,Rp2.500.000 - 4.450.000
Universitas Nahdlatul Ulama Surabaya,UNUS,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Unggul,27,,Rp972.000 - 46.504.000
St Ilmu Komputer Cipta Karya Informatika,SIKCKI,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Terakreditasi,4,42.40 %,Rp3.750.000 - 7.500.000
STKIP Bina Bangsa Meulaboh,STKIP Bina Bangsa Meulaboh,Swasta,Alih Bentuk,Kab. Aceh Barat,Prov. Aceh,Baik,3,,Rp4.185.000 - 4.185.000
Akademi Manajemen Informatika Dan Komputer Itmi,AMIKI,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,1,44.62 %,
"Institut Teknologi, Sains, dan Kesehatan RS.DR. Soepraoen Kesdam V/BRW",ITSKRDSKVB,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Baik Sekali,18,45.78 %,Rp7.000.000 - 7.000.000
Universitas Peradaban,UP,Swasta,Aktif,Kab. Brebes,Prov. Jawa Tengah,Baik,19,45.11 %,Rp1.600.000 - 2.200.000
Politeknik Mitra Global,PMG,Swasta,Aktif,Kab. Banyuwangi,Prov. Jawa Timur,Baik,4,13.49 %,Rp4.000.000 - 4.000.000
Sekolah Tinggi Ilmu Hukum Habaring Hurung Sampit,STIH Habaring Hurung Sampit,Swasta,Aktif,Kab. Kotawaringin Timur,Prov. Kalimantan Tengah,Baik Sekali,1,35.87 %,Rp2.500.000 - 4.250.000
Universitas Sali Al-Aitaam,USAA,Swasta,Aktif,Kab. Bandung,Prov. Jawa Barat,Baik,13,3.18 %,Rp159.000 - 31.356.000
Universitas Arrahma Mandiri Indonesia,UAMI,Swasta,Aktif,Kab. Pasuruan,Prov. Jawa Timur,Tidak Terakreditasi,9,,
AMIK Ibrahimy,AMIK Ibrahimy,Swasta,Alih Bentuk,Kab. Situbondo,Prov. Jawa Timur,Tidak Terakreditasi,1,,
Akademi Kebidanan Palapa Husada,Akbid Palapa Husada,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,1,59.21 %,
AMIK Lamappapoleonro Soppeng,AMIK Lamappapoleonro Soppeng,Swasta,Alih Bentuk,Kab. Soppeng,Prov. Sulawesi Selatan,Tidak Terakreditasi,2,,
Sekolah Tinggi Manajemen Informatika dan Komputer Al Muslim,STMIK Al Muslim,Swasta,Aktif,Kab. Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,3,36.58 %,
Sekolah Tinggi Bahasa Harapan Bersama,STBHB,Swasta,Aktif,Kab. Kuburaya,Prov. Kalimantan Barat,Baik Sekali,2,30.99 %,Rp2.000.000 - 7.000.000
Sekolah Tinggi Ilmu Kesehatan Yapika,STIKes Yapika,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,5,77.34 %,Rp2.000.000 - 7.000.000
Sekolah Tinggi Teknologi Telekomunikasi Purwokerto,STT Telekomunikasi Purwokerto,Swasta,Alih Bentuk,Kab. Banyumas,Prov. Jawa Tengah,Tidak Terakreditasi,1,,
Politeknik Prestasi Prima,PPP,Swasta,Aktif,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Terakreditasi Pertama,6,,Rp2.500.000 - 3.000.000
STMIK Putera Batam,STMIK Putera Batam,Swasta,Tutup,Kota Batam,Prov. Kepulauan Riau,Tidak Terakreditasi,4,27.89 %,
Akademi Keperawatan Yakpermas Banyumas,Akper Yakpermas Banyumas,Swasta,Alih Bentuk,Kab. Banyumas,Prov. Jawa Tengah,Tidak Terakreditasi,1,85.40 %,
Politeknik Swadharma,PS,Swasta,Alih Bentuk,Kab. Tangerang,Prov. Banten,Tidak Terakreditasi,5,64.03 %,
Universitas Qomaruddin,UQ,Swasta,Aktif,Kab. Gresik,Prov. Jawa Timur,Terakreditasi,12,52.56 %,Rp200.000 - 6.000.000
Universitas Sains dan Teknologi Komputer,USTK,Swasta,Aktif,Kota Semarang,Prov. Jawa Tengah,Tidak Terakreditasi,26,,Rp3.018.600 - 30.030.000
Universitas Muhammadiyah Maumere,UMM,Swasta,Aktif,Kab. Sikka,Prov. Nusa Tenggara Timur,Baik,11,15.10 %,Rp1.600.000 - 4.010.000
Sekolah Tinggi Ilmu Kesehatan Salsabila Serang,STIKes Salsabila Serang,Swasta,Aktif,Kota Serang,Prov. Banten,Baik,5,,Rp4.000.000 - 15.600.000
Sekolah Tinggi Bahasa Asing Bumi Beringin Manado,STBABBM,Swasta,Aktif,Kota Manado,Prov. Sulawesi Utara,Baik,4,,Rp2.400.000 - 3.175.000
STIE Dharma Negara,STIE Dharma Negara,Swasta,Tutup,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,4,,Rp1.200.000 - 2.100.000
STMIK Pranata Indonesia,STMIK Pranata Indonesia,Swasta,Aktif,Kota Bekasi,Prov. Jawa Barat,Baik,4,,Rp234.000 - 7.760.000
Akademi Teknik Mesin Industri Cikarang,Atek Mesin Industri Cikarang,Swasta,Alih Bentuk,Kab. Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,1,,
Universitas Muslim Nusantara Al-Washliyah,UMNAW,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Unggul,26,,Rp1 - 9.075.000
Universitas IBA,UI,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,8,,Rp2.400.000 - 6.781.250
Universitas Koperasi Indonesia,UKI,Swasta,Aktif,Kab. Sumedang,Prov. Jawa Barat,Baik Sekali,9,,Rp1.800.000 - 55.250.000
Sekolah Tinggi Ilmu Ekonomi Pelita Buana,STIE Pelita Buana,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,2,,Rp2.400.000 - 240.000.055
Sekolah Tinggi Ilmu Ekonomi Prima Graha,STIE Prima Graha,Swasta,Alih Bentuk,Kota Serang,Prov. Banten,Tidak Terakreditasi,3,34.43 %,
Akademi Kebidanan Petro Mandau Husada,Akbid Petro Mandau Husada,Swasta,Alih Bentuk,Kab. Bengkalis,Prov. Riau,Tidak Terakreditasi,1,,
AMIK Intel Com Global Indo Kisaran,AMIK Intel Com Global,Swasta,Tutup,Kab. Asahan,Prov. Sumatera Utara,Tidak Terakreditasi,3,,
Sekolah Tinggi Ilmu Ekonomi Pariwisata Api,STIE Pariwisata Api,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Baik,1,54.38 %,
Akademi Analis Kesehatan 17 Agustus 1945 Semarang,AAK1A1S,Swasta,Alih Bentuk,Kab. Semarang,Prov. Jawa Tengah,Baik,1,61.17 %,Rp3.500.000 - 4.000.000
AMIK Cipta Darma,AMIK Cipta Darma,Swasta,Alih Bentuk,Kab. Sukoharjo,Prov. Jawa Tengah,Tidak Terakreditasi,2,55.14 %,
Sekolah Tinggi Ilmu Ekonomi Cakrawala,STIE Cakrawala,Swasta,Aktif,Kab. Karimun,Prov. Kepulauan Riau,Baik,8,86.55 %,Rp400.000 - 2.400.000
Akademi Keperawatan Abdi Florensia,Akper Abdi Florensia,Swasta,Alih Bentuk,Kota Pematang Siantar,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Universitas Islam Kalimantan Muhammad Arsyad Al Banjari Banjarmasin,UIKMAABB,Swasta,Aktif,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik Sekali,34,47.00 %,Rp100.000 - 7.995.000
STISI Bandung,STISI Bandung,Swasta,Alih Kelola,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,5,26.24 %,
Sekolah Tinggi Ilmu Komputer Ambon,STIKA,Swasta,Alih Bentuk,Kota Ambon,Prov. Maluku,Tidak Terakreditasi,4,,
Akademi Maritim Ganesha Yogyakarta,Akmar Ganesha,Swasta,Tutup,Kab. Sleman,Prov. D.I. Yogyakarta,Tidak Terakreditasi,1,61.41 %,
Sekolah Tinggi Ilmu Ekonomi Islamiyah,STIE Islamiyah,Swasta,Tutup,Kota tangerang Selatan,Prov. Banten,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Ekonomi AMM,STIE AMM,Swasta,Aktif,Kota Mataram,Prov. Nusa Tenggara Barat,Baik,4,62.54 %,Rp1.200.000 - 3.500.000
Institut Bisnis Dan Informatika Kwik Kian Gie,IBIKKG,Swasta,Aktif,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Baik Sekali,11,60.17 %,Rp12.800.000 - 12.800.000
AMIK BSI Bekasi,AMIK BSI Bekasi,Swasta,Alih Bentuk,Kota Bekasi,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Akademi Kebidanan Gunung Sari Makassar,Akbid Gunung Sari Makassar,Swasta,Alih Bentuk,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,1,,
Akademi Farmasi Bhakti Mulia,Akfar Bhakti Mulia,Swasta,Alih Bentuk,Kab. Sukoharjo,Prov. Jawa Tengah,Tidak Terakreditasi,1,66.86 %,
Universitas Mahkota Tricom Unggul,UMTU,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Terakreditasi,7,10.15 %,Rp300.000 - 5.000.000
Institut Teknologi dan Bisnis Kalla,ITBK,Swasta,Aktif,Kota Makassar,Prov. Sulawesi Selatan,Baik,4,45.11 %,Rp10.002.000 - 10.002.000
STMIK Nusa Mandiri Sukabumi,STMIK Nusa Mandiri Sukabumi,Swasta,Alih Bentuk,Kab. Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena,STIPPBW,Swasta,Aktif,Kab. Jayawijaya,Prov. Papua,Terakreditasi,2,,Rp2.000.000 - 2.000.000
Akademi Sekretari dan Manajemen Indonesia Desanta,ASMID,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Baik,2,3.18 %,Rp3.000.000 - 5.855.000
Universitas Yuppentek Indonesia,UYI,Swasta,Aktif,Kota Tangerang,Prov. Banten,Baik,5,29.11 %,Rp250.000 - 10.600.000
STISIP Syamsul Ulum,STISIP Syamsul Ulum,Swasta,Aktif,Kota Sukabumi,Prov. Jawa Barat,Baik,2,,Rp2.500.000 - 2.500.000
Politeknik Manufaktur Timah,PMT,Swasta,Tutup,Kab. Bangka,Prov. Bangka Belitung,Tidak Terakreditasi,3,,
Akademi Fisioterapi Siti Hajar Medan,AFSHM,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,1,,
Akademi Keperawatan Bina Insani Sakti,Akper Bina Insani Sakti,Swasta,Alih Bentuk,Kab. Sungai Penuh,Prov. Jambi,Baik,1,,Rp1.900.000 - 3.800.000
Sekolah Tinggi Teknologi Telkom,STT Telkom,Swasta,Alih Bentuk,Kab. Bandung,Prov. Jawa Barat,Tidak Terakreditasi,11,,
Universitas Salakanagara,US,Swasta,Aktif,Kota Tangerang,Prov. Banten,Baik Sekali,7,77.34 %,Rp4.200.000 - 7.200.000
Universitas Wijaya Kusuma Surabaya,UWKS,Swasta,Aktif,Kota Surabaya,Prov. Jawa Timur,Terakreditasi,38,,
Universitas Pembinaan Masyarakat Indonesia,UPMI,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik Sekali,22,,Rp19 - 7.800.000
Universitas Al-ghifari,UAG,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Terakreditasi,10,38.55 %,Rp3.190.000 - 7.500.000
Universitas Mpu Tantular,UMT,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,B,14,85.40 %,Rp2.100.000 - 6.650.000
Universitas Sisingamangaraja XII,USX,Swasta,Alih Bentuk,Kota Medan,Prov. Sumatera Utara,Tidak Terakreditasi,17,,
Universitas Proklamasi 45,UP4,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Terakreditasi,12,52.56 %,Rp550.000 - 16.800.000
STKIP Citra Bina Nusantara,STKIP Citra Bina Nusantara,Swasta,Alih Bentuk,Kota Kupang,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,3,31.34 %,
Politeknik Maritim Eka Utama Subang,PMEUS,Swasta,Alih Bentuk,Kab. Subang,Prov. Jawa Barat,Baik,3,15.10 %,Rp3.820.000 - 6.650.000
Akademi Kebidanan Bustanul Ulum Langsa,Akbid Bustanul Ulum Langsa,Swasta,Alih Bentuk,Kota Langsa,Prov. Aceh,Tidak Terakreditasi,1,50.63 %,
STISIPOL Mujahidin,STISIPOL Mujahidin,Swasta,Aktif,Kab. Buol,Prov. Sulawesi Tengah,Baik,2,,
STMIK Amik Bandung,STMIK Amik Bandung,Swasta,Aktif,Kota Bandung,Prov. Jawa Barat,Baik Sekali,8,51.73 %,Rp6.000.000 - 6.000.000
Universitas Yarsi Pratama,UYP,Swasta,Aktif,Kab. Tangerang,Prov. Banten,Baik,7,,Rp2.400.000 - 4.800.000
Universitas Abdurrab,UA,Swasta,Aktif,Kota Pekanbaru,Prov. Riau,Terakreditasi,25,64.98 %,Rp1.800.000 - 12.000.000
Universitas Putra Indonesia,UPI,Swasta,Aktif,Kab. Cianjur,Prov. Jawa Barat,Baik,11,,Rp1.515.000 - 10.326.500
Sekolah Tinggi Ilmu Kesehatan YLPP Purwokerto,STIKes YLPP Purwokerto,Swasta,Alih Bentuk,Kab. Cirebon,Prov. Jawa Barat,Tidak Terakreditasi,2,,
Sekolah Tinggi Kesehatan Pondok Pesantren Assanadiyah Palembang,STKPPAP,Swasta,Aktif,Kota Palembang,Prov. Sumatera Selatan,Terakreditasi,2,49.71 %,Rp3.000.000 - 4.800.000
Sekolah Tinggi Ilmu Ekonomi Kusuma Negara,STIE Kusuma Negara,Swasta,Aktif,Kota Jakarta Timur,Prov. D.K.I. Jakarta,Baik,4,35.09 %,Rp4.000.000 - 41.000.000
Akademi Manajemen Perpajakan Makassar,AMPM,Swasta,Pembinaan,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,3,66.39 %,
Universitas Muhammadiyah Cirebon,UMC,Swasta,Aktif,Kab. Cirebon,Prov. Jawa Barat,B,25,39.72 %,Rp850.000 - 8.000.000
Akademi Pendidikan Kesehatan Talitakum,APKT,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,5,87.45 %,Rp4.000.000 - 5.300.000
Sekolah Tinggi Sains Dwi Farma Bukittinggi,STSDFB,Swasta,Aktif,Kota Bukittinggi,Prov. Sumatera Barat,Tidak Terakreditasi,2,,
Sekolah Tinggi Ilmu Manajemen Pase,STIMP,Swasta,Aktif,Kota Langsa,Prov. Aceh,Baik,1,48.47 %,
Politeknik Siti Nadhira,PSN,Swasta,Aktif,Kota Padang Panjang,Prov. Sumatera Barat,Tidak Terakreditasi,3,87.91 %,
STISIP Merdeka Manado,STISIP Merdeka Manado,Swasta,Aktif,Kota Manado,Prov. Sulawesi Utara,Baik,1,64.78 %,Rp2.500.000 - 2.500.000
Politeknik St Wilhelmus,PSW,Swasta,Aktif,Kab. Nagakeo,Prov. Nusa Tenggara Timur,Baik,4,46.89 %,Rp650.000 - 3.350.000
Sekolah Tinggi Teknologi Nusa Putra,STT Nusa Putra,Swasta,Alih Bentuk,Kab. Sukabumi,Prov. Jawa Barat,Tidak Terakreditasi,7,94.83 %,
Sekolah Tinggi Ilmu Hukum Oyo Papua,STIH Oyo,Swasta,Aktif,Kab. Sorong Selatan,Prov. Papua Barat,Tidak Terakreditasi,1,,
Akademi Kebidanan Karya Bunda Husada,Akbid Karya Bunda Husada,Swasta,Alih Bentuk,Kab. Tangerang,Prov. Banten,B,1,,
Universitas Kristen Artha Wacana,UKAW,Swasta,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,B,20,,Rp400.000 - 4.000.000
Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha,STIE Widya Wiwaha,Swasta,Aktif,Kota Yogyakarta,Prov. D.I. Yogyakarta,B,3,37.85 %,Rp1.500.000 - 4.750.000
STIKES Suaka Insan,STIKES Suaka Insan,Swasta,Alih Bentuk,Kota Banjarmasin,Prov. Kalimantan Selatan,Baik,4,,Rp2.400.000 - 13.100.000
Sekolah Tinggi Ilmu Kesehatan Fitrah Aldar,STIKes Fitrah Aldar,Swasta,Aktif,Kota Lubuk Linggau,Prov. Sumatera Selatan,Baik,2,,Rp2.500.000 - 5.000.000
Akademi Teknologi Pringsewu,ATP,Swasta,Aktif,Kab. Tenggamus,Prov. Lampung,Tidak Terakreditasi,2,60.17 %,
Universitas Hamzanwadi,UH,Swasta,Aktif,Kab. Lombok Timur,Prov. Nusa Tenggara Barat,Baik Sekali,33,,Rp850.000 - 46.000.000
Akademi Analis Kesehatan Kendari,AAKK,Swasta,Alih Bentuk,Kota Kendari,Prov. Sulawesi Tenggara,Tidak Terakreditasi,1,,
Politeknik Nasional,PN,Swasta,Aktif,Kota Denpasar,Prov. Bali,Terakreditasi,3,66.86 %,
Sekolah Tinggi Ilmu Ekonomi Tanjung Selor,STIE Tanjung Selor,Swasta,Tutup,Kab. Bulongan,Prov. Kalimantan Timur,Tidak Terakreditasi,2,10.15 %,
Politeknik Artificial Intelligence Budi Mulia Dua,PAIBMD,Swasta,Aktif,Kab. Sleman,Prov. D.I. Yogyakarta,Terakreditasi Sementara,3,29.07 %,
Universitas Teknologi Muhammadiyah Jakarta,UTMJ,Swasta,Aktif,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik Sekali,9,48.61 %,Rp4.905.000 - 8.900.000
Sekolah Tinggi Ilmu Kesehatan Nusantara,STIKes Nusantara,Swasta,Aktif,Kota Kupang,Prov. Nusa Tenggara Timur,Tidak Terakreditasi,4,28.83 %,Rp4.000.000 - 4.000.000
Universitas Quality,UQ,Swasta,Aktif,Kota Medan,Prov. Sumatera Utara,Baik,14,,Rp1 - 7.400.000
STIKES Darul Azhar Batulicin,STIKES Darul Azhar Batulicin,Swasta,Aktif,Kab. Tanah Bumbu,Prov. Kalimantan Selatan,Baik,4,29.11 %,Rp1.200.000 - 12.800.000
Institut Teknologi dan Bisnis Asia Malang,ITBAM,Swasta,Aktif,Kota Malang,Prov. Jawa Timur,Baik,6,62.00 %,Rp1 - 7.000.000
STIKES Muhammadiyah Banjarmasin,STIKES Muhammadiyah Banjarmasin,Swasta,Alih Bentuk,Kota Banjarmasin,Prov. Kalimantan Selatan,Tidak Terakreditasi,6,52.58 %,
Sekolah Tinggi Ilmu Ekonomi Dharma Agung Indonesia,STIE Dharma Agung Indonesia,Swasta,Aktif,Kab. Bekasi,Prov. Jawa Barat,Baik,4,44.85 %,Rp100.000 - 9.820.000
STIEB Perdana Mandiri,STIEB Perdana Mandiri,Swasta,Aktif,Kab. Purwakarta,Prov. Jawa Barat,Baik,3,,Rp3.259.000 - 5.379.000
Sekolah Tinggi Pertanian Jawa Barat,STPJB,Swasta,Alih Bentuk,Kota Bandung,Prov. Jawa Barat,Tidak Terakreditasi,2,81.95 %,
Universitas Satria Makassar,USM,Swasta,Tutup,Kota Makassar,Prov. Sulawesi Selatan,Tidak Terakreditasi,10,13.75 %,
Universitas Jayanusa,UJ,Swasta,Aktif,Kota Padang,Prov. Sumatera Barat,Tidak Terakreditasi,6,,
Universitas Muhammadiyah Palangka Raya,UMPR,Swasta,Aktif,Kota Palangka Raya,Prov. Kalimantan Tengah,Baik Sekali,42,,Rp1.993.000 - 18.750.000
Sekolah Tinggi Ilmu Ekonomi Kuala Kapuas,STIE Kuala Kapuas,Swasta,Aktif,Kab. Kapuas,Prov. Kalimantan Tengah,Tidak Terakreditasi,1,,Rp1.500.000 - 2.400.000
Sekolah Tinggi Ilmu Ekonomi Putra Bangsa,STIE Putra Bangsa,Swasta,Alih Bentuk,Kab. Kebumen,Prov. Jawa Tengah,Tidak Terakreditasi,2,,
